service_id,date,exception_type
13041,20191101,2
13041,20191224,2
13041,20191225,2
13041,20191226,2
13042,20200101,1
13042,20190311,1
13042,20190501,1
13042,20190624,1
13042,20190706,1
13042,20190815,1
13042,20191101,1
13042,20191224,1
13042,20191225,1
13042,20191226,1
13043,20200101,2
13043,20190311,2
13043,20190501,2
13043,20190624,2
13043,20190706,2
13043,20190815,2
13043,20191101,2
13043,20191224,2
13043,20191225,2
13043,20191226,2
13044,20200101,2
13044,20190311,2
13044,20190501,2
13044,20190624,2
13044,20190706,2
13044,20190815,2
13044,20191101,2
13044,20191224,2
13044,20191225,2
13044,20191226,2
13045,20200101,1
13045,20190311,1
13045,20190501,1
13045,20190624,1
13045,20190706,1
13045,20190815,1
13045,20191101,1
13045,20191224,1
13045,20191225,1
13045,20191226,1
12761,20200101,2
12761,20190311,2
12761,20190501,2
12761,20190624,2
12761,20190706,2
12761,20190815,2
12761,20191101,2
12761,20191224,2
12761,20191225,2
12761,20191226,2
12765,20200101,2
12765,20190311,2
12765,20190501,2
12765,20190624,2
12765,20190706,2
12765,20190815,2
12765,20191101,2
12765,20191224,2
12765,20191225,2
12765,20191226,2
12762,20200101,2
12762,20190311,2
12762,20190501,2
12762,20190624,2
12762,20190706,2
12762,20190815,2
12762,20191101,2
12762,20191224,2
12762,20191225,2
12762,20191226,2
12763,20200101,1
12763,20190311,1
12763,20190501,1
12763,20190624,1
12763,20190706,1
12763,20190815,1
12763,20191101,1
12763,20191224,1
12763,20191225,1
12763,20191226,1
12506,20200101,2
12506,20190311,2
12506,20190501,2
12506,20190624,2
12506,20190706,2
12506,20190815,2
12506,20191101,2
12506,20191224,2
12506,20191225,2
12506,20191226,2
12507,20200101,2
12507,20190311,2
12507,20190501,2
12507,20190624,2
12507,20190706,2
12507,20190815,2
12507,20191101,2
12507,20191224,2
12507,20191225,2
12507,20191226,2
12508,20200101,1
12508,20190311,1
12508,20190501,1
12508,20190624,1
12508,20190706,1
12508,20190815,1
12508,20191101,1
12508,20191224,1
12508,20191225,1
12508,20191226,1
12509,20200101,2
12509,20190311,2
12509,20190501,2
12509,20190624,2
12509,20190706,2
12509,20190815,2
12509,20191101,2
12509,20191224,2
12509,20191225,2
12509,20191226,2
12510,20200101,2
12510,20190311,2
12510,20190501,2
12510,20190624,2
12510,20190706,2
12510,20190815,2
12510,20191101,2
12510,20191224,2
12510,20191225,2
12510,20191226,2
12511,20200101,1
12511,20190311,1
12511,20190501,1
12511,20190624,1
12511,20190706,1
12511,20190815,1
12511,20191101,1
12511,20191224,1
12511,20191225,1
12511,20191226,1
12013,20200101,2
12013,20190311,2
12013,20190501,2
12013,20190624,2
12013,20190706,2
12013,20190815,2
12013,20191101,2
12013,20191224,2
12013,20191225,2
12013,20191226,2
12014,20200101,2
12014,20190311,2
12014,20190501,2
12014,20190624,2
12014,20190706,2
12014,20190815,2
12014,20191101,2
12014,20191224,2
12014,20191225,2
12014,20191226,2
12015,20200101,1
12015,20190311,1
12015,20190501,1
12015,20190624,1
12015,20190706,1
12015,20190815,1
12015,20191101,1
12015,20191224,1
12015,20191225,1
12015,20191226,1
12615,20200101,2
12615,20190311,2
12615,20190501,2
12615,20190624,2
12615,20190706,2
12615,20190815,2
12615,20191101,2
12615,20191224,2
12615,20191225,2
12615,20191226,2
12512,20200101,2
12512,20190311,2
12512,20190501,2
12512,20190624,2
12512,20190706,2
12512,20190815,2
12512,20191101,2
12512,20191224,2
12512,20191225,2
12512,20191226,2
12513,20200101,1
12513,20190311,1
12513,20190501,1
12513,20190624,1
12513,20190706,1
12513,20190815,1
12513,20191101,1
12513,20191224,1
12513,20191225,1
12513,20191226,1
11859,20200101,2
11859,20190311,2
11859,20190501,2
11859,20190624,2
11859,20190706,2
11859,20190815,2
11859,20191101,2
11859,20191224,2
11859,20191225,2
11859,20191226,2
11860,20200101,2
11860,20190311,2
11860,20190501,2
11860,20190624,2
11860,20190706,2
11860,20190815,2
11860,20191101,2
11860,20191224,2
11860,20191225,2
11860,20191226,2
11861,20200101,1
11861,20190311,1
11861,20190501,1
11861,20190624,1
11861,20190706,1
11861,20190815,1
11861,20191101,1
11861,20191224,1
11861,20191225,1
11861,20191226,1
13046,20200101,2
13046,20190311,2
13046,20190501,2
13046,20190624,2
13046,20190706,2
13046,20190815,2
13046,20191101,2
13046,20191224,2
13046,20191225,2
13046,20191226,2
12740,20200101,1
12740,20190311,1
12740,20190501,1
12740,20190624,1
12740,20190706,1
12740,20190815,1
12740,20191101,1
12740,20191224,1
12740,20191225,1
12740,20191226,1
13048,20200101,2
13048,20190311,2
13048,20190501,2
13048,20190624,2
13048,20190706,2
13048,20190815,2
13048,20191101,2
13048,20191224,2
13048,20191225,2
13048,20191226,2
13047,20200101,2
13047,20190311,2
13047,20190501,2
13047,20190624,2
13047,20190706,2
13047,20190815,2
13047,20191101,2
13047,20191224,2
13047,20191225,2
13047,20191226,2
13049,20200101,1
13049,20190311,1
13049,20190501,1
13049,20190624,1
13049,20190706,1
13049,20190815,1
13049,20191101,1
13049,20191224,1
13049,20191225,1
13049,20191226,1
12817,20200101,2
12817,20190311,2
12817,20190501,2
12817,20190624,2
12817,20190706,2
12817,20190815,2
12817,20191101,2
12817,20191224,2
12817,20191225,2
12817,20191226,2
12818,20200101,1
12818,20190311,1
12818,20190501,1
12818,20190624,1
12818,20190706,1
12818,20190815,1
12818,20191101,1
12818,20191224,1
12818,20191225,1
12818,20191226,1
12819,20200101,2
12819,20190311,2
12819,20190501,2
12819,20190624,2
12819,20190706,2
12819,20190815,2
12819,20191101,2
12819,20191224,2
12819,20191225,2
12819,20191226,2
12820,20200101,2
12820,20190311,2
12820,20190501,2
12820,20190624,2
12820,20190706,2
12820,20190815,2
12820,20191101,2
12820,20191224,2
12820,20191225,2
12820,20191226,2
12821,20200101,1
12821,20190311,1
12821,20190501,1
12821,20190624,1
12821,20190706,1
12821,20190815,1
12821,20191101,1
12821,20191224,1
12821,20191225,1
12821,20191226,1
13015,20200101,2
13015,20190311,2
13015,20190501,2
13015,20190624,2
13015,20190706,2
13015,20190815,2
13015,20191101,2
13015,20191224,2
13015,20191225,2
13015,20191226,2
13016,20200101,2
13016,20190311,2
13016,20190501,2
13016,20190624,2
13016,20190706,2
13016,20190815,2
13016,20191101,2
13016,20191224,2
13016,20191225,2
13016,20191226,2
13017,20200101,1
13017,20190311,1
13017,20190501,1
13017,20190624,1
13017,20190706,1
13017,20190815,1
13017,20191101,1
13017,20191224,1
13017,20191225,1
13017,20191226,1
13050,20200101,2
13050,20190311,2
13050,20190501,2
13050,20190624,2
13050,20190706,2
13050,20190815,2
13050,20191101,2
13050,20191224,2
13050,20191225,2
13050,20191226,2
13051,20200101,2
13051,20190311,2
13051,20190501,2
13051,20190624,2
13051,20190706,2
13051,20190815,2
13051,20191101,2
13051,20191224,2
13051,20191225,2
13051,20191226,2
13052,20200101,1
13052,20190311,1
13052,20190501,1
13052,20190624,1
13052,20190706,1
13052,20190815,1
13052,20191101,1
13052,20191224,1
13052,20191225,1
13052,20191226,1
12822,20200101,2
12822,20190311,2
12822,20190501,2
12822,20190624,2
12822,20190706,2
12822,20190815,2
12822,20191101,2
12822,20191224,2
12822,20191225,2
12822,20191226,2
12455,20200101,2
12455,20190311,2
12455,20190501,2
12455,20190624,2
12455,20190706,2
12455,20190815,2
12455,20191101,2
12455,20191224,2
12455,20191225,2
12455,20191226,2
12456,20200101,1
12456,20190311,1
12456,20190501,1
12456,20190624,1
12456,20190706,1
12456,20190815,1
12456,20191101,1
12456,20191224,1
12456,20191225,1
12456,20191226,1
12824,20200101,2
12824,20190311,2
12824,20190501,2
12824,20190624,2
12824,20190706,2
12824,20190815,2
12824,20191101,2
12824,20191224,2
12824,20191225,2
12824,20191226,2
12825,20200101,1
12825,20190311,1
12825,20190501,1
12825,20190624,1
12825,20190706,1
12825,20190815,1
12825,20191101,1
12825,20191224,1
12825,20191225,1
12825,20191226,1
12823,20200101,2
12823,20190311,2
12823,20190501,2
12823,20190624,2
12823,20190706,2
12823,20190815,2
12823,20191101,2
12823,20191224,2
12823,20191225,2
12823,20191226,2
13053,20200101,2
13053,20190311,2
13053,20190501,2
13053,20190624,2
13053,20190706,2
13053,20190815,2
13053,20191101,2
13053,20191224,2
13053,20191225,2
13053,20191226,2
13054,20200101,2
13054,20190311,2
13054,20190501,2
13054,20190624,2
13054,20190706,2
13054,20190815,2
13054,20191101,2
13054,20191224,2
13054,20191225,2
13054,20191226,2
13055,20200101,1
13055,20190311,1
13055,20190501,1
13055,20190624,1
13055,20190706,1
13055,20190815,1
13055,20191101,1
13055,20191224,1
13055,20191225,1
13055,20191226,1
12826,20200101,2
12826,20190311,2
12826,20190501,2
12826,20190624,2
12826,20190706,2
12826,20190815,2
12826,20191101,2
12826,20191224,2
12826,20191225,2
12826,20191226,2
12827,20200101,2
12827,20190311,2
12827,20190501,2
12827,20190624,2
12827,20190706,2
12827,20190815,2
12827,20191101,2
12827,20191224,2
12827,20191225,2
12827,20191226,2
12828,20200101,1
12828,20190311,1
12828,20190501,1
12828,20190624,1
12828,20190706,1
12828,20190815,1
12828,20191101,1
12828,20191224,1
12828,20191225,1
12828,20191226,1
12829,20200101,2
12829,20190311,2
12829,20190501,2
12829,20190624,2
12829,20190706,2
12829,20190815,2
12829,20191101,2
12829,20191224,2
12829,20191225,2
12829,20191226,2
12830,20200101,2
12830,20190311,2
12830,20190501,2
12830,20190624,2
12830,20190706,2
12830,20190815,2
12830,20191101,2
12830,20191224,2
12830,20191225,2
12830,20191226,2
12831,20200101,1
12831,20190311,1
12831,20190501,1
12831,20190624,1
12831,20190706,1
12831,20190815,1
12831,20191101,1
12831,20191224,1
12831,20191225,1
12831,20191226,1
13056,20200101,2
13056,20190311,2
13056,20190501,2
13056,20190624,2
13056,20190706,2
13056,20190815,2
13056,20191101,2
13056,20191224,2
13056,20191225,2
13056,20191226,2
13057,20200101,2
13057,20190311,2
13057,20190501,2
13057,20190624,2
13057,20190706,2
13057,20190815,2
13057,20191101,2
13057,20191224,2
13057,20191225,2
13057,20191226,2
13058,20200101,1
13058,20190311,1
13058,20190501,1
13058,20190624,1
13058,20190706,1
13058,20190815,1
13058,20191101,1
13058,20191224,1
13058,20191225,1
13058,20191226,1
12682,20200101,2
12682,20190311,2
12682,20190501,2
12682,20190624,2
12682,20190706,2
12682,20190815,2
12682,20191101,2
12682,20191224,2
12682,20191225,2
12682,20191226,2
12683,20200101,2
12683,20190311,2
12683,20190501,2
12683,20190624,2
12683,20190706,2
12683,20190815,2
12683,20191101,2
12683,20191224,2
12683,20191225,2
12683,20191226,2
12684,20200101,1
12684,20190311,1
12684,20190501,1
12684,20190624,1
12684,20190706,1
12684,20190815,1
12684,20191101,1
12684,20191224,1
12684,20191225,1
12684,20191226,1
12526,20200101,2
12526,20190311,2
12526,20190501,2
12526,20190624,2
12526,20190706,2
12526,20190815,2
12526,20191101,2
12526,20191224,2
12526,20191225,2
12526,20191226,2
12527,20200101,2
12527,20190311,2
12527,20190501,2
12527,20190624,2
12527,20190706,2
12527,20190815,2
12527,20191101,2
12527,20191224,2
12527,20191225,2
12527,20191226,2
12528,20200101,1
12528,20190311,1
12528,20190501,1
12528,20190624,1
12528,20190706,1
12528,20190815,1
12528,20191101,1
12528,20191224,1
12528,20191225,1
12528,20191226,1
12773,20200101,2
12773,20190311,2
12773,20190501,2
12773,20190624,2
12773,20190706,2
12773,20190815,2
12773,20191101,2
12773,20191224,2
12773,20191225,2
12773,20191226,2
12774,20200101,2
12774,20190311,2
12774,20190501,2
12774,20190624,2
12774,20190706,2
12774,20190815,2
12774,20191101,2
12774,20191224,2
12774,20191225,2
12774,20191226,2
12775,20200101,1
12775,20190311,1
12775,20190501,1
12775,20190624,1
12775,20190706,1
12775,20190815,1
12775,20191101,1
12775,20191224,1
12775,20191225,1
12775,20191226,1
12530,20200101,2
12530,20190311,2
12530,20190501,2
12530,20190624,2
12530,20190706,2
12530,20190815,2
12530,20191101,2
12530,20191224,2
12530,20191225,2
12530,20191226,2
11965,20200101,2
11965,20190311,2
11965,20190501,2
11965,20190624,2
11965,20190706,2
11965,20190815,2
11965,20191101,2
11965,20191224,2
11965,20191225,2
11965,20191226,2
11966,20200101,1
11966,20190311,1
11966,20190501,1
11966,20190624,1
11966,20190706,1
11966,20190815,1
11966,20191101,1
11966,20191224,1
11966,20191225,1
11966,20191226,1
13059,20200101,2
13059,20190311,2
13059,20190501,2
13059,20190624,2
13059,20190706,2
13059,20190815,2
13059,20191101,2
13059,20191224,2
13059,20191225,2
13059,20191226,2
13060,20200101,2
13060,20190311,2
13060,20190501,2
13060,20190624,2
13060,20190706,2
13060,20190815,2
13060,20191101,2
13060,20191224,2
13060,20191225,2
13060,20191226,2
13061,20200101,1
13061,20190311,1
13061,20190501,1
13061,20190624,1
13061,20190706,1
13061,20190815,1
13061,20191101,1
13061,20191224,1
13061,20191225,1
13061,20191226,1
13010,20200101,2
13010,20190311,2
13010,20190501,2
13010,20190624,2
13010,20190706,2
13010,20190815,2
13010,20191101,2
13010,20191224,2
13010,20191225,2
13010,20191226,2
13011,20200101,2
13011,20190311,2
13011,20190501,2
13011,20190624,2
13011,20190706,2
13011,20190815,2
13011,20191101,2
13011,20191224,2
13011,20191225,2
13011,20191226,2
13012,20200101,1
13012,20190311,1
13012,20190501,1
13012,20190624,1
13012,20190706,1
13012,20190815,1
13012,20191101,1
13012,20191224,1
13012,20191225,1
13012,20191226,1
12532,20200101,2
12532,20190311,2
12532,20190501,2
12532,20190624,2
12532,20190706,2
12532,20190815,2
12532,20191101,2
12532,20191224,2
12532,20191225,2
12532,20191226,2
12833,20200101,2
12833,20190311,2
12833,20190501,2
12833,20190624,2
12833,20190706,2
12833,20190815,2
12833,20191101,2
12833,20191224,2
12833,20191225,2
12833,20191226,2
12533,20200101,1
12533,20190311,1
12533,20190501,1
12533,20190624,1
12533,20190706,1
12533,20190815,1
12533,20191101,1
12533,20191224,1
12533,20191225,1
12533,20191226,1
12834,20200101,2
12834,20190311,2
12834,20190501,2
12834,20190624,2
12834,20190706,2
12834,20190815,2
12834,20191101,2
12834,20191224,2
12834,20191225,2
12834,20191226,2
12835,20200101,2
12835,20190311,2
12835,20190501,2
12835,20190624,2
12835,20190706,2
12835,20190815,2
12835,20191101,2
12835,20191224,2
12835,20191225,2
12835,20191226,2
12836,20200101,1
12836,20190311,1
12836,20190501,1
12836,20190624,1
12836,20190706,1
12836,20190815,1
12836,20191101,1
12836,20191224,1
12836,20191225,1
12836,20191226,1
13062,20200101,2
13062,20190311,2
13062,20190501,2
13062,20190624,2
13062,20190706,2
13062,20190815,2
13062,20191101,2
13062,20191224,2
13062,20191225,2
13062,20191226,2
13063,20200101,2
13063,20190311,2
13063,20190501,2
13063,20190624,2
13063,20190706,2
13063,20190815,2
13063,20191101,2
13063,20191224,2
13063,20191225,2
13063,20191226,2
13064,20200101,1
13064,20190311,1
13064,20190501,1
13064,20190624,1
13064,20190706,1
13064,20190815,1
13064,20191101,1
13064,20191224,1
13064,20191225,1
13064,20191226,1
12537,20200101,2
12537,20190311,2
12537,20190501,2
12537,20190624,2
12537,20190706,2
12537,20190815,2
12537,20191101,2
12537,20191224,2
12537,20191225,2
12537,20191226,2
12538,20200101,2
12538,20190311,2
12538,20190501,2
12538,20190624,2
12538,20190706,2
12538,20190815,2
12538,20191101,2
12538,20191224,2
12538,20191225,2
12538,20191226,2
12539,20200101,1
12539,20190311,1
12539,20190501,1
12539,20190624,1
12539,20190706,1
12539,20190815,1
12539,20191101,1
12539,20191224,1
12539,20191225,1
12539,20191226,1
12214,20200101,2
12214,20190311,2
12214,20190501,2
12214,20190624,2
12214,20190706,2
12214,20190815,2
12214,20191101,2
12214,20191224,2
